fn_name	evidence_kind	evidence	anchor
agent/src/harness/session/jsonl_repo.rs::list@56	existing-test	packages/agent/test/ported/session-storage.test.ts:60	expect(files).toHaveLength(1);
agent/src/harness/session/session.rs::append_label@524	existing-test	packages/agent/test/harness/session.test.ts:104	await expect(session.appendLabel("missing", "checkpoint")).rejects.toThrow("Entry missing not found");
coding-agent/src/history.rs::default_path@22	existing-test	packages/coding-agent/test/history.test.ts:127	expect(HistoryStore.defaultPath().endsWith("history")).toBe(true);
agent/src/harness/trigger_runtime.rs::config@176	existing-test	packages/agent/test/harness/trigger-runtime.test.ts:98	expect(runtime.config.dedupWindowMs).toBe(MAX_DEDUP_WINDOW_MS);
coding-agent/src/inbox.rs::list@88	existing-test	packages/coding-agent/test/ported/inbox.test.ts:55	expect(list(path).length).toBe(2);
agent/src/agent.rs::abort@159	existing-test	packages/agent/test/agent.test.ts:242	expect(receivedSignal?.aborted).toBe(true);
agent/src/agent.rs::prompt@171	existing-test	packages/agent/test/ported/agent-loop.test.ts:54	expect(events[0]).toBe("agent_start");
agent/src/harness/compaction/compaction.rs::find_cut_point@246	existing-test	packages/agent/test/harness/compaction.test.ts:198	expect(findCutPoint([thinking, modelChange], 0, 2, 1)).toEqual({
ai/src/api_registry.rs::clear_api_providers@91	existing-test	packages/ai/test/ported/oracle-inline-core.test.ts:129	expect(getApiProvider(RACE_API as never)).toBeUndefined();
ai/src/providers/transform_messages.rs::transform_messages@73	existing-test	packages/ai/test/transform-messages-oracle-parity.test.ts:61	expect(out).toHaveLength(1);
ai/src/utils/event_stream.rs::create_assistant_message_event_stream@105	existing-test	packages/ai/test/event-stream.test.ts:160	expect(await stream.result()).toBe(msg);
ai/src/utils/retry.rs::send_with_retry@42	existing-test	packages/ai/test/retry.test.ts:135	expect(response.status).toBe(200);
coding-agent/src/bug_report.rs::default_dest@24	existing-test	packages/coding-agent/test/bug-report.test.ts:104	expect(defaultDest(NOW)).toBe(join(dir, "bug-reports", "20260804T025906Z.txt"));
coding-agent/src/extensions.rs::init_all@71	existing-test	packages/coding-agent/test/extensions-registry.test.ts:83	expect(r.initAll(ctx()).banners).toEqual(["hello: ready"]);
