path	line	kind	reason
packages/agent/test/harness/truncate.test.ts	139	fixture	CJK input exercising column width, where one character occupies two columns
packages/agent/test/ported/harness-e2e.test.ts	1700	fixture	CJK input built to exercise width or budget handling
packages/agent/test/ported/harness-e2e.test.ts	1728	fixture	CJK string an assertion compares against; changing it changes what the test proves
packages/ai/test/hash.test.ts	25	fixture	CJK input pinning the hash of a non-ASCII string
packages/ai/test/hash.test.ts	26	fixture	CJK input pinning the hash of a non-ASCII string
packages/ai/test/hash.test.ts	28	fixture	CJK input pinning the hash of a non-ASCII string
packages/ai/test/ported/batch-u.test.ts	45	fixture	CJK input exercising surrogate pair handling
packages/coding-agent/src/core/system-prompt.ts	81	behavior	Chinese trigger words inside the prompt text sent to the model; the model matches on them
packages/coding-agent/src/core/system-prompt.ts	89	behavior	Chinese trigger words inside the prompt text sent to the model; the model matches on them
packages/coding-agent/src/triggers/cron.ts	1120	behavior	Chinese schedule alias the parser compares against, including its traditional form
packages/coding-agent/src/triggers/cron.ts	1122	behavior	Chinese schedule alias the parser compares against, including its traditional form
packages/coding-agent/src/triggers/cron.ts	1124	behavior	Chinese schedule alias the parser compares against, including its traditional form
packages/coding-agent/src/triggers/cron.ts	1130	behavior	Chinese schedule alias the parser compares against, including its traditional form
packages/coding-agent/src/triggers/cron.ts	1274	behavior	Chinese schedule alias the parser compares against, including its traditional form
packages/coding-agent/src/triggers/cron.ts	1281	behavior	Chinese schedule alias the parser compares against, including its traditional form
packages/coding-agent/src/triggers/cron.ts	1302	behavior	Chinese schedule alias the parser compares against, including its traditional form
packages/coding-agent/src/triggers/cron.ts	1313	behavior	Chinese schedule alias the parser compares against, including its traditional form
packages/coding-agent/src/triggers/dynamic.ts	60	behavior	Chinese connective the trigger parser splits sentences on
packages/coding-agent/src/triggers/dynamic.ts	61	behavior	Chinese connective the trigger parser splits sentences on
packages/coding-agent/src/triggers/dynamic.ts	62	behavior	Chinese connective the trigger parser splits sentences on
packages/coding-agent/src/triggers/dynamic.ts	63	behavior	Chinese connective the trigger parser splits sentences on
packages/coding-agent/src/triggers/dynamic.ts	64	behavior	Chinese connective the trigger parser splits sentences on
packages/coding-agent/src/triggers/dynamic.ts	646	behavior	Chinese connective the trigger parser splits sentences on
packages/coding-agent/src/triggers/dynamic.ts	647	behavior	Chinese connective the trigger parser splits sentences on
packages/coding-agent/src/triggers/dynamic.ts	648	behavior	Chinese connective the trigger parser splits sentences on
packages/coding-agent/src/triggers/dynamic.ts	649	behavior	Chinese connective the trigger parser splits sentences on
packages/coding-agent/src/triggers/dynamic.ts	650	behavior	Chinese connective the trigger parser splits sentences on
packages/coding-agent/src/triggers/dynamic.ts	651	behavior	Chinese connective the trigger parser splits sentences on
packages/coding-agent/src/triggers/dynamic.ts	652	behavior	Chinese connective the trigger parser splits sentences on
packages/coding-agent/src/triggers/dynamic.ts	653	behavior	Chinese connective the trigger parser splits sentences on
packages/coding-agent/src/triggers/dynamic.ts	654	behavior	Chinese connective the trigger parser splits sentences on
packages/coding-agent/src/triggers/dynamic.ts	655	behavior	Chinese connective the trigger parser splits sentences on
packages/coding-agent/src/triggers/dynamic.ts	656	behavior	Chinese connective the trigger parser splits sentences on
packages/coding-agent/src/triggers/dynamic.ts	657	behavior	Chinese connective the trigger parser splits sentences on
packages/coding-agent/src/triggers/dynamic.ts	658	behavior	Chinese connective the trigger parser splits sentences on
packages/coding-agent/src/triggers/dynamic.ts	659	behavior	Chinese connective the trigger parser splits sentences on
packages/coding-agent/src/triggers/dynamic.ts	660	behavior	Chinese connective the trigger parser splits sentences on
packages/coding-agent/src/triggers/dynamic.ts	661	behavior	Chinese connective the trigger parser splits sentences on
packages/coding-agent/src/triggers/dynamic.ts	662	behavior	Chinese connective the trigger parser splits sentences on
packages/coding-agent/src/triggers/dynamic.ts	663	behavior	Chinese connective the trigger parser splits sentences on
packages/coding-agent/src/triggers/dynamic.ts	664	behavior	Chinese connective the trigger parser splits sentences on
packages/coding-agent/src/triggers/dynamic.ts	665	behavior	Chinese connective the trigger parser splits sentences on
packages/coding-agent/src/triggers/dynamic.ts	666	behavior	Chinese connective the trigger parser splits sentences on
packages/coding-agent/src/triggers/dynamic.ts	667	behavior	Chinese connective the trigger parser splits sentences on
packages/coding-agent/src/triggers/dynamic.ts	668	behavior	Chinese connective the trigger parser splits sentences on
packages/coding-agent/src/triggers/dynamic.ts	669	behavior	Chinese connective the trigger parser splits sentences on
packages/coding-agent/src/triggers/dynamic.ts	670	behavior	Chinese connective the trigger parser splits sentences on
packages/coding-agent/src/triggers/dynamic.ts	966	behavior	Chinese connective the trigger parser splits sentences on
packages/coding-agent/src/triggers/dynamic.ts	1080	behavior	Chinese connective the trigger parser splits sentences on
packages/coding-agent/src/triggers/dynamic.ts	1081	behavior	Chinese connective the trigger parser splits sentences on
packages/coding-agent/src/triggers/dynamic.ts	1082	behavior	Chinese connective the trigger parser splits sentences on
packages/coding-agent/src/triggers/dynamic.ts	1083	behavior	Chinese connective the trigger parser splits sentences on
packages/coding-agent/src/triggers/dynamic.ts	1084	behavior	Chinese connective the trigger parser splits sentences on
packages/coding-agent/src/triggers/dynamic.ts	1085	behavior	Chinese connective the trigger parser splits sentences on
packages/coding-agent/src/triggers/dynamic.ts	1086	behavior	Chinese connective the trigger parser splits sentences on
packages/coding-agent/src/triggers/dynamic.ts	1087	behavior	Chinese connective the trigger parser splits sentences on
packages/coding-agent/test/footer-width.test.ts	96	fixture	CJK input built to exercise width or budget handling
packages/coding-agent/test/mentions.test.ts	217	fixture	CJK input built to exercise width or budget handling
packages/coding-agent/test/ported/dynamic.test.ts	121	fixture	CJK string an assertion compares against; changing it changes what the test proves
packages/coding-agent/test/ported/tui-render-e2e.test.ts	461	fixture	CJK string an assertion compares against; changing it changes what the test proves
packages/coding-agent/test/ported/tui-render-e2e.test.ts	489	fixture	CJK string an assertion compares against; changing it changes what the test proves
packages/coding-agent/test/ported/tui-render-e2e.test.ts	490	fixture	CJK string an assertion compares against; changing it changes what the test proves
packages/coding-agent/test/ported/tui-render-e2e.test.ts	491	fixture	CJK string an assertion compares against; changing it changes what the test proves
packages/coding-agent/test/ported/tui-render-e2e.test.ts	492	fixture	CJK string an assertion compares against; changing it changes what the test proves
packages/coding-agent/test/ported/tui-render-e2e.test.ts	508	fixture	CJK input built to exercise width or budget handling
packages/coding-agent/test/ported/tui-render-e2e.test.ts	534	fixture	CJK string an assertion compares against; changing it changes what the test proves
packages/coding-agent/test/ported/tui-render-e2e.test.ts	541	fixture	CJK string an assertion compares against; changing it changes what the test proves
packages/coding-agent/test/prompt-templates.test.ts	92	fixture	CJK string an assertion compares against; changing it changes what the test proves
packages/coding-agent/test/prompt-templates.test.ts	277	fixture	CJK string an assertion compares against; changing it changes what the test proves
packages/coding-agent/test/prompt-templates.test.ts	341	fixture	CJK string an assertion compares against; changing it changes what the test proves
packages/coding-agent/test/session-picker.test.ts	162	fixture	CJK string an assertion compares against; changing it changes what the test proves
packages/coding-agent/test/session-picker.test.ts	163	fixture	CJK string an assertion compares against; changing it changes what the test proves
packages/coding-agent/test/system-prompt.test.ts	38	fixture	CJK string an assertion compares against; changing it changes what the test proves
packages/coding-agent/test/tools.test.ts	1180	fixture	CJK string an assertion compares against; changing it changes what the test proves
packages/coding-agent/test/tools.test.ts	1185	fixture	CJK string an assertion compares against; changing it changes what the test proves
packages/coding-agent/test/ui/feed.test.ts	98	fixture	CJK string an assertion compares against; changing it changes what the test proves
packages/coding-agent/test/ui/feed.test.ts	101	fixture	CJK string an assertion compares against; changing it changes what the test proves
packages/coding-agent/test/ui/feed.test.ts	221	fixture	CJK input built to exercise width or budget handling
packages/coding-agent/test/ui/terminal-driver.test.ts	106	fixture	CJK input built to exercise width or budget handling
packages/coding-agent/test/ui/terminal-driver.test.ts	108	fixture	CJK input built to exercise width or budget handling
packages/coding-agent/test/ui/terminal-driver.test.ts	163	fixture	CJK string an assertion compares against; changing it changes what the test proves
packages/coding-agent/test/ui/terminal-driver.test.ts	166	fixture	CJK string an assertion compares against; changing it changes what the test proves
packages/coding-agent/test/web-fetch-tool.test.ts	44	fixture	CJK string an assertion compares against; changing it changes what the test proves
packages/tui/test/editor.test.ts	915	fixture	CJK input built to exercise width or budget handling
packages/tui/test/truncate-to-width.test.ts	7	fixture	CJK input built to exercise width or budget handling
packages/tui/test/truncate-to-width.test.ts	38	fixture	CJK input exercising column width, where one character occupies two columns
packages/tui/test/truncate-to-width.test.ts	42	fixture	CJK input exercising column width, where one character occupies two columns
packages/tui/test/truncate-to-width.test.ts	53	fixture	CJK input exercising column width, where one character occupies two columns
packages/agent/test/ported/batch-f.test.ts	21	fixture	CJK fixture for token estimation.
packages/agent/test/ported/compaction-prompt-budget.test.ts	63	fixture	CJK fixture for token estimation under the summary budget.
packages/agent/test/ported/harness-e2e.test.ts	1694	fixture	CJK fixture: the comment counts its UTF-8 bytes.
packages/ai/test/unicode-surrogate.test.ts	97	fixture	CJK fixture inside a document body.
